Name,Club,Division,Nat,Position,Home Grown Status,Preferred Foot,Inf,WR,Age,Mins,Ps C/90,Pr passes/90,Pas %,NP-xG/90,xA/90,Drb/90,Tck R,Hdr %,Tck/90,K Tck/90,Hdrs W/90,K Hdrs/90,Int/90,Blk/90,Clr/90,Pres C/90,Pres A/90,Fls,Distance,Rec,Salary,Expires,Transfer Value
Adrian Horşia,Corvinul Hunedoara,Liga III - Seria IX,ROU,D (RC),-,Unknown,,,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$120 p/w,6/30/25,Unknown
Abdul-Malik Lawal-Olumegbon,Walsall,Sky Bet League Two,ENG,D (C),-,Unknown,,,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$120 p/w,6/30/24,Unknown
Lorenzo Salerno,Spezia,Serie A TIM,ITA,D (C),-,Unknown,,,20,1,-,-,100%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-0.6mi,- - -,$400 p/w,6/30/23,Unknown
Dexter Sneddon,Charlton,Sky Bet League One,ENG,D (C),-,Unknown,Yth,,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$200 p/w,6/30/25,Unknown
Marco Fossati,Monza,Serie A TIM,ITA,D (C),-,Unknown,Yth,,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$250 p/w,6/30/23,Unknown
Diego Arcos,Real Madrid,LaLiga Santander,ESP,D (C),-,Unknown,,,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$300 p/w,6/30/23,Unknown
Emre Oğuz,Excelsior,Eredivisie,TUR,D (C),-,Unknown,Yth,,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$130 p/w,6/30/24,Unknown
Federico Cricca,Imolese,Serie C Girone B,ITA,D (C),-,Right,,,20,17,-,-,54%,-,-,-,-,67%,-,-,-,-,-,-,-,-,-,0,1.9mi,- - -,$500 p/w,6/30/24,$65K - $220K
Yannis Peyaud,AS Saint-Priest,Championnat National 2 Groupe C,FRA,D (C),Trained in nation (15-21),Right,,,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$180 p/w,6/30/23,$0 - $5K
Chen Po-Yu,Taipower,Chinese Taipei Football Premier League,TPE,D (C),-,Unknown,,,24,180,44.5,3.5,74%,0,0,-,0%,66%,0,0.5,9.5,0.5,4.5,1,3,1,4.5,1,15.0mi,- - -,$30 p/w,12/31/23,Unknown
Karim Sangaré,Salernitana,Serie A TIM,CIV,D (C),-,Unknown,Yth,,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$250 p/w,6/30/23,Unknown
Farouk Idrissa,US GN,Nigerien Premier Division,NIG,D (C),-,Unknown,,,24,365,30.08,2.22,64%,0,0.23,0.49,75%,61%,0.74,0,6.16,0.74,1.73,-,0.74,1.48,2.47,6,21.1mi,- - -,$150 p/w,6/30/24,Unknown
Benjamin Engels,Wolfsburg,Bundesliga,GER,D (C),-,Unknown,Yth,,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$65 p/w,6/30/25,Unknown
Michele Di Rienzo,Monopoli,Serie C Girone C,ITA,D (LC),-,Unknown,Yth,,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$150 p/w,6/30/24,Unknown
Jassim Ateej,Kazma,Kuwaiti Premier League,KUW,D (C),-,Unknown,,,23,379,29.92,0.95,88%,0.05,0,0.71,100%,73%,1.42,0,2.61,0,1.19,0.24,0.24,1.19,4.51,5,17.0mi,- - -,"$1,100 p/w",6/30/25,Unknown
David Michael,Leyton Orient,Sky Bet League Two,WAL,D (C),-,Unknown,Yth,,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$6 p/w,6/30/24,Unknown
Fahad Khalid,Al-Wasl,ADNOC Pro League,UAE,D (C),-,Unknown,,,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$400 p/w,6/30/23,Unknown
Dagbjartur Búi Davíðsson,Knattspyrnufélag Akureyrar,Pepsi-deildin,ISL,"D (C), DM",-,Unknown,,,18,137,49.93,5.26,75%,0,0,-,-,72%,-,0,8.54,0,4.6,1.97,0,0.66,4.6,1,8.9mi,- - -,$40 p/w,10/31/25,Unknown
Ghanem Al-Habashi,Al-Nasr (OMA),Omantel League,OMA,D (RC),-,Unknown,,,25,"3,150",31.86,3.03,74%,0.16,0.03,1.26,82%,62%,1.4,0.06,4.26,0.4,4.89,0.63,1.66,2.46,7.11,37,258.2mi,- - -,$220 p/w,6/30/23,Unknown
Kevin Ugah,Eloi-Lupopo,DR Congolese Premier Division,NGA,D (C),-,Left,,,24,180,23,2,58%,0.35,0.01,-,50%,81%,0.5,0.5,6.5,0.5,2,-,1,1,3.5,1,4.5mi,- - -,$120 p/w,6/30/23,$0 
Marco Desiderio,Piacenza,Serie C Girone A,ITA,D (C),-,Unknown,Yth,,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$150 p/w,6/30/27,Unknown
Ben Drake,Sheffield United,Sky Bet Championship,ENG,D (C),-,Unknown,,,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$240 p/w,6/30/24,Unknown
Hermann Gilson,Excelsior,Eredivisie,NED,D (C),-,Unknown,Yth,,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$100 p/w,6/30/27,Unknown
Israël Kinunga Mbala,Saint-Étienne,French National 3 - Auvergne Rhône Alpes,FRA,D (C),Trained in nation (15-21),Unknown,,,19,"2,488",42.11,4.88,70%,0.06,0,-,76%,59%,0.69,0.29,8.86,0.54,3.87,0.61,1.77,1.56,3.51,30,171.2mi,- - -,$475 p/w,6/30/23,Unknown
Erwan Perrouault,Tours,French National 3 - Centre Val de Loire,FRA,D (C),Trained in nation (15-21),Right,Ctr,,24,"2,314",42.32,4.32,69%,0.02,0.02,0.08,94%,64%,0.58,0.04,10.42,0.51,4.2,0.58,1.4,1.17,2.76,29,159.4mi,- - -,N/A,-,$0 
Karol Kotorowski,Warta Poznań,PKO Ekstraklasa,POL,D (C),-,Unknown,Yth,,15,518,20.5,4.17,58%,0.01,0.09,0.52,70%,65%,1.22,0.17,6.25,0.35,3.13,1.39,1.91,2.43,6.6,8,41.4mi,- - -,$65 p/w,6/30/26,Unknown
Lautaro Centurión,Rampla Juniors,Segunda División Profesional,ARG,D (C),-,Unknown,,,24,930,48.68,3.58,67%,0.04,0.01,0.1,89%,84%,0.77,0.29,13.06,0.68,6,1.06,2.81,2.13,5.61,1,72.9mi,- - -,$450 p/w,12/31/23,Unknown
Samuele Spano,Olbia,Serie C Girone B,ITA,D/M/AM (C),-,Right,,,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$500 p/w,6/30/23,$0 - $20K
Benjamin Bygnes,Moss FK,PostNord-ligaen Avdeling 1,NOR,D (C),-,Right,,,20,129,21.63,0.7,67%,0,0,-,75%,86%,2.09,0,4.19,0,0.7,-,0,0,1.4,1,3.0mi,- - -,$230 p/w,12/31/24,$0 
Bertin Nguemaleu,UMS Loum,Cameroonian Elite One,CMR,D (C),-,Right Only,Ret,,34,"3,524",39.38,4.27,67%,0.04,0.07,0.03,84%,69%,0.66,0.13,10.52,0.43,4.06,0.64,1.56,1.43,3.32,46,236.8mi,- - -,$120 p/w,6/30/23,$0 
Ismaël Niambélé,Girona,LaLiga Santander,ESP,D (C),-,Unknown,Yth,,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$65 p/w,6/30/27,Unknown
Alex Wilkie,Cheltenham,Sky Bet League One,ENG,D (C),-,Unknown,Yth,,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$200 p/w,6/30/23,Unknown
Kipras Kazukolovas,,-,LTU,D (C),-,Unknown,Wnt,,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,-,-,$0 
Friday Abdullahi,Wolfsburg,Bundesliga,GER,D (C),-,Unknown,Yth,,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$65 p/w,6/30/25,Unknown
Roberto Codromaz,Cjarlins,Serie D Girone C,SVN,D (C),-,Right Only,,,28,"3,780",14.26,0,71%,0.07,0,-,97%,-,1.52,0,-,0,-,-,0,0,0,47,0.0mi,- - -,$625 p/w,6/30/24,$70K - $220K
Dejvi Marku,Doncaster,Sky Bet League Two,BEL,D (C),-,Unknown,Yth,,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$6 p/w,6/30/24,Unknown
Noah Wadsworth,Barnet,Vanarama National League,ENG,D (LC),-,Right,,,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$200 p/w,6/30/25,$0 - $85K
Tim Zander,Union Berlin,Bundesliga,GER,D (C),-,Unknown,Yth,,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$65 p/w,6/30/25,Unknown
Hugo Teixeira,Drochtersen,Regionalliga Nord,GER,D (C),-,Right Only,,,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$300 p/w,6/30/24,$0 - $55K
Fandry Imbiri,,-,IDN,D (C),-,Unknown,FrA,,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,-,-,$0 
Henrik Pürg,Flora Tallinn,A. Le Coq Premium liiga,EST,D (C),-,Unknown,,,28,"1,170",14.31,0,72%,0.08,0,-,100%,-,1.69,0,-,0,-,-,0,0,0,26,0.0mi,- - -,$275 p/w,12/31/23,Unknown
Joe Wynne,Coventry,Sky Bet Championship,ENG,D (C),-,Unknown,Yth,,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$200 p/w,6/30/24,Unknown
Wilson Cardona,Águilas Doradas,Liga BetPlay Dimayor,COL,D (C),-,Unknown,Yth,,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$65 p/w,12/31/26,Unknown
Alex Joof,Barnsley,Sky Bet League One,ENG,D (C),-,Unknown,,,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$300 p/w,6/30/24,Unknown
Josh Wells,FS Jelgava,Komanda.lv 1. līga,LVA,D (C),-,Unknown,,,21,90,16,0,80%,0,0,-,100%,-,1,0,-,0,-,-,0,0,0,0,0.0mi,- - -,$110 p/w,11/30/24,Unknown
Guilain Zrankeon,Valenciennes,French National 3 - Hauts de France,FRA,D (C),Trained in nation (15-21),Left,Trn,,22,"2,131",35.73,3.46,69%,0.12,0.02,0.55,81%,75%,0.72,0.08,8.57,0.72,3.08,0.51,1.6,1.77,4.77,23,163.2mi,- - -,$475 p/w,6/30/23,$0 
Amoah Foa Sam,Almere City FC,Keuken Kampioen Divisie,NED,D (C),-,Unknown,,,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$180 p/w,6/30/23,Unknown
Donni Monim,,-,IDN,D (C),-,Unknown,FrA,,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,-,-,$0 
Joel Suárez,Tenerife C,Spanish Preferente Tenerife,ESP,D (C),-,Right Only,,,20,90,51,6,70%,0.13,0,-,100%,38%,1,0,6,1,7,-,2,3,5,1,8.0mi,- - -,"$1,500 p/w",6/30/24,$0 - $50K
Samuel Kotto,Malmö FF,Allsvenskan,CMR,D (C),-,Left Only,,,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$750 p/w,12/31/24,Unknown
Ibrahima Baldé,Olympique Saint-Quentin,Championnat National 2 Groupe B,CIV,D (C),-,Right,,,20,900,43.1,4.9,71%,0.09,0.02,0.1,71%,73%,0.5,0.1,11.3,0.6,4.3,0.5,1.8,1.4,3.2,9,66.2mi,- - -,$475 p/w,6/30/24,$150K - $500K
Daniel Pierre Mayele,SPAL,Serie BKT,ITA,D (C),-,Unknown,Yth,,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$220 p/w,6/30/25,Unknown
Lucas Ramos López,Rosario Central,Liga Profesional de Fútbol,ARG,D (C),-,Unknown,,,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$775 p/w,12/31/24,Unknown
Severin Ehrlich,Marítimo,Liga Portugal Bwin,POR,D (C),-,Unknown,Yth,,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$65 p/w,6/30/26,Unknown
Hilan Hamzaoui Slimani,Marseille,Ligue 1 Uber Eats,ALG,D (C),Trained in nation (15-21),Unknown,Int,,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$90 p/w,6/30/24,Unknown
Nagriel Roch,Jong Holland (CUR),Liga MCB 1st Division,CUW,D (C),-,Unknown,,,21,"3,240",14.14,0.08,67%,0.03,0,-,100%,54%,1.58,0,0.19,0,0.08,0.03,0.03,0.08,0.19,30,6.0mi,- - -,$40 p/w,6/30/25,Unknown
Reza Faraji,Saipa,Azadegan League,IRN,D (C),-,Unknown,Ret,,29,23,-,-,73%,-,-,-,100%,75%,-,-,-,-,-,-,-,-,-,0,1.3mi,- - -,"$1,600 p/w",6/30/23,Unknown
Luis Vega,Marathón,Liga Salva-Vida,HON,"D (C), DM",-,Unknown,,,22,90,15,0,75%,0,0.09,-,100%,-,2,0,-,0,-,-,0,0,0,1,0.0mi,- - -,N/A,6/30/23,Unknown
Jonathan Okafor,JFV A/O/B/H/H,German U19 Division 2 Regional Div. North,GER,D (C),-,Either,Yth,,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$30 p/w,6/30/24,$0 
Nicholas Zdrilic,Hajduk Split,SuperSport Hrvatska nogometna liga,AUS,D (C),-,Unknown,Inj,,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$6 p/w,6/30/26,Unknown
Thomas Reinders,N.E.C.,Eredivisie,NED,D (C),-,Unknown,,,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$150 p/w,6/30/24,Unknown
Maxime Jacinto,Fidelis Andria,Serie C Girone C,FRA,D (C),-,Unknown,Yth,,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$150 p/w,6/30/24,Unknown
Kacper Orzechowski,Lech Poznań,PKO Ekstraklasa,POL,D (C),-,Unknown,,,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$160 p/w,6/30/25,Unknown
Morten Berthelsen,Herfølge,Danish Zealand Series,DEN,D (C),-,Unknown,Ama,,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,N/A,-,Unknown
Jean,Náutico,Brasileirão Série C,BRA,D (C),-,Right,Ret,,34,184,48.42,4.89,69%,0,0.1,-,0%,82%,0,0,15.65,0,4.89,0.98,0.98,0.98,4.4,1,13.9mi,- - -,$450 p/w,12/31/23,$0 
Sébastien Crétinoir,AS Samaritaine,Martinican Trophee Gerard Janvion R1,MTQ,D (C),-,Unknown,Ret,,38,"3,150",46.46,3.83,71%,0.06,0.07,0.09,78%,78%,0.51,0.11,11.71,0.26,3.89,0.83,1.83,1.46,3.89,39,231.6mi,- - -,$20 p/w,6/30/23,Unknown
Gergő László,Újpest,OTP Bank Liga,HUN,D (C),-,Unknown,Yth,,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$65 p/w,6/30/24,Unknown
Giovanni Tessaro,Venezia,Serie BKT,ITA,D (C),-,Unknown,Wnt,,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$220 p/w,6/30/23,Unknown
Darling Bladi,Saint-Étienne,French National 3 - Auvergne Rhône Alpes,FRA,D (C),Trained in nation (15-21),Unknown,Inj,,19,"1,420",40.31,4.56,70%,0.03,0.04,-,81%,69%,1.08,0.44,9.63,0.38,4.25,0.38,1.71,1.71,3.36,16,92.3mi,- - -,$475 p/w,6/30/24,Unknown
Marian Ştefan,Rapid București,SuperLiga,ROU,D (C),-,Unknown,Yth,,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$25 p/w,6/30/27,Unknown
Steve Niamathé,Red Star,Central African Premier Division,CTA,D (C),-,Unknown,,,29,"3,870",13.79,0,69%,0.09,0,-,99%,-,1.6,0,-,0,-,-,0,0,0,28,0.0mi,- - -,$35 p/w,6/30/23,Unknown
Oltion Rapa,Skënderbeu,Kategoria e Parë,ALB,D (C),-,Unknown,,,34,"3,062",43.65,4.56,72%,0.1,0.06,0.03,80%,70%,0.82,0.12,10.02,0.71,3.26,0.38,1.79,1.97,3.82,31,204.2mi,- - -,$120 p/w,6/30/25,Unknown
Gabriel Billington,Exeter City,Sky Bet League One,ENG,D (C),-,Unknown,Loa,,18,17,-,-,75%,-,-,-,-,75%,-,-,-,-,-,-,-,-,-,0,1.0mi,- - -,$200 p/w,6/30/24,Unknown
Klaid Hoxha,Teuta,Abissnet Superiore,ALB,D (C),-,Unknown,,,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$120 p/w,6/30/23,Unknown
Noah Holmstrøm,AaB,3F Superliga,DEN,D (C),-,Unknown,,,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$220 p/w,6/30/23,Unknown
Walter St. Martin,Pamplemousses,Mauritian Premier Division,MRI,"D (C), DM",-,Unknown,,,39,"3,935",46.11,4.67,75%,0.06,0.03,0.02,82%,65%,0.96,0.21,10.34,0.39,3.52,0.62,1.9,1.99,3.82,42,280.9mi,- - -,$25 p/w,6/30/23,Unknown
Nicolás Kozlovsky,Fénix (ARG),Primera B Metropolitana,ARG,"D (C), DM",-,Right Only,,,21,194,18.09,0,65%,0,0,-,100%,-,3.25,0,-,0,-,-,0,0,0,1,0.0mi,- - -,$250 p/w,12/31/24,$170K - $550K
Omar Taha,Shabab Ordon,Al-Manaseer Jordanian Pro League 1st Division,JOR,D (C),-,Unknown,Ret,,36,"2,737",44.06,4.83,73%,0.06,0.03,-,73%,74%,0.62,0.1,11.18,0.59,4.21,0.66,1.61,1.55,3.42,30,187.7mi,- - -,$120 p/w,6/30/23,Unknown
Nassim Nouajaa,HFX Wanderers FC,Canadian Premier League,CAN,D (C),-,Unknown,Int,,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$325 p/w,12/31/23,Unknown
Caoilfhionn Kiely,Oxford United,Sky Bet League One,IRL,D (C),-,Unknown,Yth,,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$200 p/w,6/30/24,Unknown
Christoph Di Marco,FC Volendam,Eredivisie,NED,D (C),-,Unknown,Yth,,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$100 p/w,6/30/28,Unknown
Álvaro Gracés,Rampla Juniors,Segunda División Profesional,URU,D (C),-,Unknown,Inj,,23,601,43.28,3.89,69%,0.02,0.02,0.6,71%,75%,0.75,0,8.39,0.3,6.14,0.6,2.4,2.55,5.99,3,50.8mi,- - -,$120 p/w,12/31/23,Unknown
Björn Fröhlich,Unterhaching,Regionalliga Bayern,GER,D (C),-,Right,,,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$140 p/w,6/30/24,$0 - $20K
Gonçalo Rodrigues,Victoria Rosport,BGL Ligue,LUX,D (C),-,Unknown,,,21,"3,363",14.18,0,68%,0.06,0,-,97%,-,1.61,0,-,0,-,-,0,0,0,30,0.0mi,- - -,$80 p/w,6/30/23,Unknown
Ricardo Escobar,Deportes Concepción,Segunda División Profesional de Chile,CHI,"D (C), DM",-,Right,,,26,90,14,0,70%,0,0,-,100%,-,3,0,-,0,-,-,0,0,0,3,0.0mi,- - -,$180 p/w,12/31/24,$3.5K - $12K
Andrea Verde,Novara,Serie C Girone A,ITA,D (C),-,Unknown,Yth,,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$150 p/w,6/30/27,Unknown
Marley Rose,Bristol City,Sky Bet Championship,ENG,D (C),-,Unknown,Yth,,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$200 p/w,6/30/24,Unknown
Finn Steele,Ipswich Town,Sky Bet League One,ENG,D (C),-,Unknown,Yth,,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$200 p/w,6/30/23,Unknown
Hugo Monteiro,Bastia,Ligues régionales,FRA,"D (C), DM",Trained in nation (15-21),Left Only,Ama,,22,363,31.24,0,70%,0.03,0,-,90%,-,4.71,0,-,0,-,-,0,0,0,13,0.0mi,- - -,N/A,-,$0 
Eugenio Aranda,Tacuary,Copa de Primera TIGO-Visión Banco,PAR,D (C),-,Unknown,,,27,16,-,-,92%,-,-,-,-,100%,-,-,-,-,-,-,-,-,-,0,1.4mi,- - -,$120 p/w,12/31/23,Unknown
Ariel Balsson,Maccabi Tel Aviv,Ligat Tel Aviv Stock Exchange,ISR,D (C),-,Unknown,Ctr,,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$275 p/w,-,Unknown
Ollie Tomlinson,Torquay United,Vanarama National League,ENG,D (C),-,Right,,,22,214,33.22,3.79,55%,0.19,0,0.42,100%,76%,0.84,0,10.93,0.42,4.63,0.84,1.26,2.1,4.63,2,16.2mi,- - -,$250 p/w,6/30/24,$2K - $7K
Vitaliy Morokhovets,Zorya,FavBet Liha,UKR,D (C),-,Unknown,,,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$300 p/w,6/30/23,Unknown
Rubén Cangá,Liga de Portoviejo,Ecuadorian Segunda Categoría de Manabí,ECU,D (C),-,Unknown,,,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,"$1,100 p/w",12/31/24,Unknown
Patrick Franke,St Pauli,2. Bundesliga,GER,D (C),-,Unknown,Yth,,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$65 p/w,6/30/25,Unknown
Brett Taylor,Weymouth,Vanarama National League South,ENG,D (C),-,Right,,,23,514,38.35,5.78,72%,0.03,0.18,-,62%,63%,1.4,0.18,7.7,0.7,2.63,0.18,1.23,3.85,6.48,2,36.7mi,- - -,$300 p/w,6/30/24,$0 
Yannick Eone Mbom,PWD Bamenda,Cameroonian Elite One,CMR,D (C),-,Either,,,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$120 p/w,6/30/23,$0 
Emanuele Pittaro,Fermana,Serie C Girone B,ITA,D (C),-,Unknown,Yth,,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$150 p/w,6/30/27,Unknown
Paul Jackman,Sheffield Wednesday,Sky Bet League One,ENG,D (C),-,Unknown,Yth,,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$200 p/w,6/30/25,Unknown
Jésah Ayessa Mabepa,Stade Olympique Romorantinais,Championnat National 2 Groupe D,FRA,D (C),Trained in nation (15-21),Right Only,,,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$75 p/w,6/30/23,$0 
Stanley Etim,Bayelsa Utd,Nigeria Professional Football League Group B,NGA,D (C),-,Unknown,Yth,,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$100 p/w,6/30/27,Unknown
Thibault Relange,Blois Foot 41,Championnat National 2 Groupe A,FRA,D (RC),Trained in nation (15-21),Right,,,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$220 p/w,6/30/23,$0 - $2K
Andrea Marafini,Recanatese,Serie C Girone B,ITA,D (C),-,Right Only,,,23,126,41.43,9.29,64%,0,0.07,-,100%,91%,0.71,0.71,14.29,0,5.71,0.71,3.57,1.43,2.86,1,10.3mi,- - -,$500 p/w,6/30/25,$5K - $55K
Carlo Formenti,Monza,Serie A TIM,ITA,D (C),-,Unknown,,,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$400 p/w,6/30/23,Unknown
Ligrete,Liga Desportiva,Mozambican Premier Division,MOZ,D (C),-,Unknown,,,23,"1,027",34.97,2.54,74%,0.11,0.01,0.88,85%,77%,1.49,0,7.1,0,4.64,0.35,1.31,2.63,7.1,16,88.9mi,- - -,$220 p/w,12/31/24,Unknown
Joël Ndzie Manga,Bordeaux,French National 3 - Nouvelle Aquitaine,FRA,"D (C), DM",Trained at club (15-21),Right,Vac,,20,810,48.67,4.56,79%,0.1,0,-,83%,72%,0.56,0.11,10.44,0.78,3.89,0.89,1.89,0.89,2.67,4,59.2mi,- - -,$475 p/w,6/30/24,$9K - $100K
Daniele Mainardi,Brescia,Serie BKT,ITA,D (C),-,Unknown,,,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$300 p/w,6/30/23,Unknown
Kittisak Dangsakul,Bangkok Utd,Toyota Thai League,THA,D (C),-,Unknown,,,18,270,20.67,2,60%,0,0,-,100%,79%,1.33,0,3.67,0,0.67,0.67,1.33,0,1.33,2,5.4mi,- - -,$500 p/w,6/30/24,Unknown
Lorenzo Lori,Pordenone,Serie C Girone A,ITA,D (C),-,Unknown,Yth,,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$150 p/w,6/30/27,Unknown
Nito,Marítimo,Liga Portugal Bwin,GNB,"D (C), DM",-,Right Only,,,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$250 p/w,6/30/24,$0 
José Francisco Velázquez,Alteños Tepa,Mexican Expansion League,MEX,D (C),-,Unknown,Yth,,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$100 p/w,6/30/27,Unknown
Daniele Grosu,Padova,Serie C Girone A,MDA,D (C),-,Unknown,Yth,,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$150 p/w,6/30/24,Unknown
Feliu Recasens,Girona,LaLiga Santander,ESP,D (C),-,Unknown,Yth,,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$65 p/w,6/30/26,Unknown
Charlie Campbell,Norwich,Sky Bet Championship,ENG,D (C),-,Unknown,Wnt,,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$875 p/w,6/30/23,Unknown
Mukhlid Al-Ruqadi,Fanja,Omani First Division Group A,OMA,D (LC),-,Unknown,Ret,,32,"3,736",14.02,0,69%,0.03,0,-,95%,-,1.81,0,-,0,-,-,0,0,0,44,0.0mi,- - -,$150 p/w,6/30/23,Unknown
